Date, Avg.Temp(°F),StateName
2209,74.0,Georgia
2210,62.1,Georgia
2211,57.6,Georgia
2212,49.1,Georgia
2301,51.7,Georgia
2001,27.3,Idaho
2002,26.2,Idaho
2003,35.1,Idaho
2004,41.6,Idaho
2005,50.6,Idaho
2006,56.2,Idaho
2007,64.9,Idaho
2008,67.1,Idaho
2009,58.7,Idaho
2010,45.4,Idaho
2011,32.7,Idaho
2012,26.2,Idaho
2101,26.6,Idaho
2102,25.4,Idaho
2103,34.8,Idaho
2104,42.0,Idaho
2105,49.8,Idaho
2106,65.1,Idaho
2107,71.8,Idaho
2108,63.9,Idaho
2109,57.2,Idaho
2110,45.2,Idaho
2111,36.7,Idaho
2112,26.5,Idaho
2201,23.8,Idaho
2202,24.5,Idaho
2203,36.2,Idaho
2204,37.0,Idaho
2205,46.1,Idaho
2206,57.2,Idaho
2207,69.5,Idaho
2208,69.4,Idaho
2209,60.8,Idaho
2210,48.0,Idaho
2211,26.1,Idaho
2212,22.7,Idaho
2301,23.3,Idaho
2001,31.8,Illinois
2002,31.9,Illinois
2003,44.4,Illinois
2004,49.6,Illinois
2005,60.6,Illinois
2006,73.6,Illinois
2007,77.3,Illinois
2008,72.8,Illinois
2009,65.6,Illinois
2010,52.0,Illinois
2011,47.1,Illinois
2012,33.0,Illinois
2101,29.5,Illinois
2102,20.8,Illinois
2103,46.2,Illinois
2104,52.5,Illinois
2105,61.1,Illinois
2106,74.1,Illinois
2107,74.6,Illinois
2108,75.6,Illinois
2109,69.6,Illinois
2110,60.2,Illinois
2111,40.9,Illinois
2112,40.2,Illinois
2201,22.3,Illinois
2202,28.0,Illinois
2203,43.1,Illinois
2204,49.6,Illinois
2205,65.3,Illinois
2206,73.5,Illinois
2207,75.8,Illinois
2208,73.6,Illinois
2209,67.0,Illinois
2210,53.3,Illinois
2211,43.0,Illinois
2212,30.3,Illinois
2301,34.6,Illinois
2001,34.3,Indiana
2002,32.8,Indiana
2003,44.6,Indiana
2004,48.9,Indiana
2005,59.7,Indiana
2006,72.1,Indiana
2007,76.5,Indiana
2008,72.0,Indiana
2009,65.2,Indiana
2010,53.1,Indiana
2011,46.7,Indiana
2012,33.6,Indiana
2101,30.5,Indiana
2102,23.7,Indiana
2103,45.8,Indiana
2104,51.9,Indiana
2105,59.6,Indiana
2106,72.7,Indiana
2107,73.7,Indiana
2108,75.0,Indiana
2109,68.4,Indiana
2110,60.2,Indiana
2111,40.0,Indiana
2112,40.5,Indiana
2201,24.3,Indiana
2202,29.8,Indiana
2203,43.7,Indiana
2204,49.4,Indiana
2205,64.9,Indiana
2206,72.3,Indiana
2207,75.3,Indiana
2208,72.9,Indiana
2209,66.1,Indiana
2210,52.9,Indiana
2211,43.2,Indiana
2212,31.7,Indiana
2301,36.6,Indiana
2001,23.1,Iowa
2002,24.9,Iowa
2003,40.3,Iowa
2004,46.7,Iowa
2005,57.6,Iowa
2006,72.9,Iowa
2007,75.3,Iowa
2008,71.9,Iowa
2009,61.9,Iowa
2010,46.0,Iowa
2011,42.0,Iowa
2012,27.2,Iowa
2101,23.9,Iowa
2102,12.5,Iowa
2103,42.3,Iowa
2104,49.3,Iowa
2105,59.0,Iowa
2106,73.5,Iowa
2107,73.4,Iowa
2108,72.9,Iowa
2109,66.6,Iowa
2110,55.5,Iowa
2111,39.2,Iowa
